From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Keyword ID	Keywords	Gene Names (ORF)	Gene Names (primary)	Organism (ID)	Proteomes	Virus hosts	Taxonomic lineage	Taxonomic lineage (Ids)	3D	Helix	Turn	Beta strand	Motif	Zinc finger	Protein families
NP_056866.1	O36635	reviewed	L_HRSVB	RNA-directed RNA polymerase L (Protein L) (Large structural protein) (Replicase) (Transcriptase) [Includes: RNA-directed RNA polymerase (EC 2.7.7.48); GTP phosphohydrolase (EC 3.6.1.-); GDP polyribonucleotidyltransferase (EC 2.7.7.88) (PRNTase); mRNA cap methyltransferase (EC 2.1.1.375) (mRNA (guanine-N(7)-)-methyltransferase) (G-N7-MTase) (mRNA (nucleoside-2'-O-)-methyltransferase) (N1-2'-O-MTase)]	L	Human respiratory syncytial virus B (strain B1)	2166		host cell cytoplasm [GO:0030430]; ATP binding [GO:0005524]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; mRNA (guanine-N7-)-methyltransferase activity [GO:0004482]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]	GO:0003924; GO:0003968; GO:0004482; GO:0005524; GO:0030430; GO:0046872	ATP binding [GO:0005524]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; mRNA (guanine-N7-)-methyltransferase activity [GO:0004482]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]	host cell cytoplasm [GO:0030430]	KW-0067; KW-1035; KW-0378; KW-0460; KW-0479; KW-0489; KW-0506; KW-0507; KW-0511; KW-0547; KW-0548; KW-1185; KW-0696; KW-0949; KW-0808; KW-0693; KW-0946	ATP-binding;Host cytoplasm;Hydrolase;Magnesium;Metal-binding;Methyltransferase;mRNA capping;mRNA processing;Multifunctional enzyme;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;RNA-directed RNA polymerase;S-adenosyl-L-methionine;Transferase;Viral RNA replication;Virion		L	79692	UP000002472: Genome; UP000180717: Genome	Homo sapiens (Human) [TaxID: 9606]	Human respiratory syncytial virus B (no rank), Human respiratory syncytial virus (species), Orthopneumovirus (genus), Pneumoviridae (family), Mononegavirales (order), Monjiviricetes (class), Haploviricotina (subphylum), Negarnaviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	208895 (no rank), 11250 (species), 1868215 (genus), 11244 (family), 11157 (order), 2497574 (class), 2497570 (subphylum), 2497569 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Paramyxovirus L protein family
NP_054707.1	M1VNX9	unreviewed	M1VNX9_9MONO	Nucleocapsid (Nucleocapsid protein)	NP	Mumps orthorubulavirus	549		helical viral capsid [GO:0019029]; host cell cytoplasm [GO:0030430]; viral nucleocapsid [GO:0019013]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]	GO:0003723; GO:0005198; GO:0019013; GO:0019029; GO:0030430	RNA binding [GO:0003723]; structural molecule activity [GO:0005198]	helical viral capsid [GO:0019029]; host cell cytoplasm [GO:0030430]; viral nucleocapsid [GO:0019013]	KW-0167; KW-1139; KW-1035; KW-0687; KW-0694; KW-0543; KW-0946	Capsid protein;Helical capsid protein;Host cytoplasm;Ribonucleoprotein;RNA-binding;Viral nucleoprotein;Virion		NP	2560602	UP000132356: Genome		Orthorubulavirus (genus), Rubulavirinae (subfamily), Paramyxoviridae (family), Mononegavirales (order), Monjiviricetes (class), Haploviricotina (subphylum), Negarnaviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	2560195 (genus), 2560080 (subfamily), 11158 (family), 11157 (order), 2497574 (class), 2497570 (subphylum), 2497569 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Paramyxoviruses nucleocapsid family
NP_054708.1	M1VET9	unreviewed	M1VET9_9MONO	Phosphoprotein	P	Mumps orthorubulavirus	391						KW-0175	Coiled coil		P	2560602	UP000100792: Genome; UP000132356: Genome		Orthorubulavirus (genus), Rubulavirinae (subfamily), Paramyxoviridae (family), Mononegavirales (order), Monjiviricetes (class), Haploviricotina (subphylum), Negarnaviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	2560195 (genus), 2560080 (subfamily), 11158 (family), 11157 (order), 2497574 (class), 2497570 (subphylum), 2497569 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Rubulavirus/avulavirus P protein family
NP_054709.1	M1VNY3	unreviewed	M1VNY3_9MONO	Non-structural protein V	P	Mumps orthorubulavirus	224	suppression by virus of host type I interferon-mediated signaling pathway [GO:0039502]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of host MDA-5 activity [GO:0039554]	metal ion binding [GO:0046872]; suppression by virus of host type I interferon-mediated signaling pathway [GO:0039502]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of host MDA-5 activity [GO:0039554]	GO:0039502; GO:0039554; GO:0046872	metal ion binding [GO:0046872]		KW-0945; KW-1090; KW-1114; KW-1089; KW-1113; KW-0691; KW-0899	Host-virus interaction;Inhibition of host innate immune response by virus;Inhibition of host interferon signaling pathway by virus;Inhibition of host MDA5 by virus;Inhibition of host RLR pathway by virus;RNA editing;Viral immunoevasion		P	2560602	UP000100792: Genome; UP000132356: Genome		Orthorubulavirus (genus), Rubulavirinae (subfamily), Paramyxoviridae (family), Mononegavirales (order), Monjiviricetes (class), Haploviricotina (subphylum), Negarnaviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	2560195 (genus), 2560080 (subfamily), 11158 (family), 11157 (order), 2497574 (class), 2497570 (subphylum), 2497569 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Paramyxoviruses V protein family
NP_054710.1	M1UZJ1	unreviewed	M1UZJ1_9MONO	Matrix protein	M	Mumps orthorubulavirus	375	virion assembly [GO:0019068]	structural constituent of virion [GO:0039660]; virion assembly [GO:0019068]	GO:0019068; GO:0039660	structural constituent of virion [GO:0039660]		KW-0468; KW-0946	Viral matrix protein;Virion		M	2560602	UP000100792: Genome; UP000132356: Genome		Orthorubulavirus (genus), Rubulavirinae (subfamily), Paramyxoviridae (family), Mononegavirales (order), Monjiviricetes (class), Haploviricotina (subphylum), Negarnaviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	2560195 (genus), 2560080 (subfamily), 11158 (family), 11157 (order), 2497574 (class), 2497570 (subphylum), 2497569 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Morbillivirus/respirovirus/rubulavirus M protein family
NP_054711.1	M1VKC0	unreviewed	M1VKC0_9MONO	Fusion glycoprotein F0	F	Mumps orthorubulavirus	538	fusion of virus membrane with host plasma membrane [GO:0019064]	host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; viral envelope [GO:0019031]; virion membrane [GO:0055036]; fusion of virus membrane with host plasma membrane [GO:0019064]	GO:0005886; GO:0016021; GO:0019031; GO:0019064; GO:0020002; GO:0055036		host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; viral envelope [GO:0019031]; virion membrane [GO:0055036]	KW-0175; KW-0472; KW-0732; KW-0812; KW-1133; KW-0261; KW-0946	Coiled coil;Membrane;Signal;Transmembrane;Transmembrane helix;Viral envelope protein;Virion		F	2560602	UP000132356: Genome		Orthorubulavirus (genus), Rubulavirinae (subfamily), Paramyxoviridae (family), Mononegavirales (order), Monjiviricetes (class), Haploviricotina (subphylum), Negarnaviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	2560195 (genus), 2560080 (subfamily), 11158 (family), 11157 (order), 2497574 (class), 2497570 (subphylum), 2497569 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Paramyxoviruses fusion glycoprotein family
NP_054712.1	M1UZJ6	unreviewed	M1UZJ6_9MONO	Small hydrophobic protein	SH	Mumps orthorubulavirus	57	suppression by virus of host NF-kappaB cascade [GO:0039644]	integral component of membrane [GO:0016021]; virion membrane [GO:0055036]; suppression by virus of host NF-kappaB cascade [GO:0039644]	GO:0016021; GO:0039644; GO:0055036		integral component of membrane [GO:0016021]; virion membrane [GO:0055036]	KW-0945; KW-1100; KW-0472; KW-0812; KW-1133; KW-0946	Host-virus interaction;Inhibition of host NF-kappa-B by virus;Membrane;Transmembrane;Transmembrane helix;Virion		SH	2560602	UP000100792: Genome; UP000132356: Genome		Orthorubulavirus (genus), Rubulavirinae (subfamily), Paramyxoviridae (family), Mononegavirales (order), Monjiviricetes (class), Haploviricotina (subphylum), Negarnaviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	2560195 (genus), 2560080 (subfamily), 11158 (family), 11157 (order), 2497574 (class), 2497570 (subphylum), 2497569 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Rubulavirus small hydrophobic protein family
NP_054713.1	M1VKC5	unreviewed	M1VKC5_9MONO	Hemagglutinin-neuraminidase	HN	Mumps orthorubulavirus	582	viral entry into host cell [GO:0046718]; virion attachment to host cell [GO:0019062]	host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; viral envelope [GO:0019031]; virion membrane [GO:0055036]; exo-alpha-sialidase activity [GO:0004308]; host cell surface receptor binding [GO:0046789]; viral entry into host cell [GO:0046718]; virion attachment to host cell [GO:0019062]	GO:0004308; GO:0005886; GO:0016021; GO:0019031; GO:0019062; GO:0020002; GO:0046718; GO:0046789; GO:0055036	exo-alpha-sialidase activity [GO:0004308]; host cell surface receptor binding [GO:0046789]	host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; viral envelope [GO:0019031]; virion membrane [GO:0055036]	KW-0325; KW-0348; KW-1043; KW-0945; KW-0472; KW-0735; KW-0812; KW-1133; KW-1161; KW-0261; KW-0946; KW-1160	Glycoprotein;Hemagglutinin;Host membrane;Host-virus interaction;Membrane;Signal-anchor;Transmembrane;Transmembrane helix;Viral attachment to host cell;Viral envelope protein;Virion;Virus entry into host cell		HN	2560602	UP000100792: Genome; UP000132356: Genome		Orthorubulavirus (genus), Rubulavirinae (subfamily), Paramyxoviridae (family), Mononegavirales (order), Monjiviricetes (class), Haploviricotina (subphylum), Negarnaviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	2560195 (genus), 2560080 (subfamily), 11158 (family), 11157 (order), 2497574 (class), 2497570 (subphylum), 2497569 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Paramyxoviruses hemagglutinin-neuraminidase family
NP_150074.1	P0C6T8	reviewed	R1A_CVBEN	Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.69) (PL1-PRO/PL2-PRO) (PL1/PL2) (Papain-like proteinases 1/2) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); Non-structural protein 11 (nsp11)]	1a	Bovine coronavirus (strain 98TXSF-110-ENT) (BCoV-ENT) (BCV)	4383	induction by virus of catabolism of host mRNA [GO:0039595]; induction by virus of host autophagy [GO:0039520]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]; suppression by virus of host gene expression [GO:0039657]; suppression by virus of host ISG15-protein conjugation [GO:0039579]; suppression by virus of host type I interferon-mediated signaling pathway [GO:0039502]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; viral genome replication [GO:0019079]; viral protein processing [GO:0019082]	host cell membrane [GO:0033644]; host cell perinuclear region of cytoplasm [GO:0044220]; integral component of membrane [GO:0016021]; cysteine-type deubiquitinase activity [GO:0004843]; cysteine-type endopeptidase activity [GO:0004197]; omega peptidase activity [GO:0008242]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]; induction by virus of catabolism of host mRNA [GO:0039595]; induction by virus of host autophagy [GO:0039520]; modulation by virus of host protein ubiquitination [GO:0039648]; proteolysis [GO:0006508]; suppression by virus of host gene expression [GO:0039657]; suppression by virus of host ISG15-protein conjugation [GO:0039579]; suppression by virus of host type I interferon-mediated signaling pathway [GO:0039502]; suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF3 activity [GO:0039548]; viral genome replication [GO:0019079]; viral protein processing [GO:0019082]	GO:0003727; GO:0003968; GO:0004197; GO:0004843; GO:0006508; GO:0008242; GO:0008270; GO:0016021; GO:0019079; GO:0019082; GO:0033644; GO:0039502; GO:0039520; GO:0039548; GO:0039579; GO:0039595; GO:0039648; GO:0039657; GO:0044220	cysteine-type deubiquitinase activity [GO:0004843]; cysteine-type endopeptidase activity [GO:0004197]; omega peptidase activity [GO:0008242]; RNA-directed 5'-3' RNA polymerase activity [GO:0003968]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]	host cell membrane [GO:0033644]; host cell perinuclear region of cytoplasm [GO:0044220]; integral component of membrane [GO:0016021]	KW-1072; KW-1132; KW-1262; KW-1193; KW-1035; KW-1190; KW-1043; KW-1192; KW-0945; KW-0378; KW-1090; KW-1114; KW-1092; KW-1095; KW-1113; KW-0472; KW-0479; KW-1127; KW-1130; KW-0645; KW-0677; KW-0688; KW-0694; KW-0788; KW-0812; KW-1133; KW-0833; KW-0899; KW-0862; KW-0863	Activation of host autophagy by virus;Decay of host mRNAs by virus;Eukaryotic host gene expression shutoff by virus;Eukaryotic host translation shutoff by virus;Host cytoplasm;Host gene expression shutoff by virus;Host membrane;Host mRNA suppression by virus;Host-virus interaction;Hydrolase;Inhibition of host innate immune response by virus;Inhibition of host interferon signaling pathway by virus;Inhibition of host IRF3 by virus;Inhibition of host ISG15 by virus;Inhibition of host RLR pathway by virus;Membrane;Metal-binding;Modulation of host ubiquitin pathway by viral deubiquitinase;Modulation of host ubiquitin pathway by virus;Protease;Repeat;Ribosomal frameshifting;RNA-binding;Thiol protease;Transmembrane;Transmembrane helix;Ubl conjugation pathway;Viral immunoevasion;Zinc;Zinc-finger	1a		233262	UP000008570: Genome	Bos taurus (Bovine) [TaxID: 9913]	Bovine coronavirus (no rank), Betacoronavirus 1 (species), Embecovirus (subgenus), Betacoronavirus (genus), Orthocoronavirinae (subfamily), Coronaviridae (family), Cornidovirineae (suborder), Nidovirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	11128 (no rank), 694003 (species), 2509481 (subgenus), 694002 (genus), 2501931 (subfamily), 11118 (family), 2499399 (suborder), 76804 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)						ZN_FING 1151..1179; /note="C4-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00444"; ZN_FING 1749..1785; /note="C4-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00444"; ZN_FING 4306..4322; /evidence="ECO:0000250"; ZN_FING 4348..4361; /evidence="ECO:0000250"	Coronaviruses polyprotein 1ab family
NP_150075.1	Q91A27	reviewed	NS2A_CVBEN	Non-structural protein 2a (ns2a) (32 kDa accessory protein) (32 kDa non-structural protein) (ns2)	2a	Bovine coronavirus (strain 98TXSF-110-ENT) (BCoV-ENT) (BCV)	278								2a		233262	UP000008570: Genome	Bos taurus (Bovine) [TaxID: 9913]	Bovine coronavirus (no rank), Betacoronavirus 1 (species), Embecovirus (subgenus), Betacoronavirus (genus), Orthocoronavirinae (subfamily), Coronaviridae (family), Cornidovirineae (suborder), Nidovirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	11128 (no rank), 694003 (species), 2509481 (subgenus), 694002 (genus), 2501931 (subfamily), 11118 (family), 2499399 (suborder), 76804 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Coronaviruses ns2a protein family
NP_150076.1	Q2EEZ0	unreviewed	Q2EEZ0_9BETC	Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein)	HE	Bovine coronavirus	424	fusion of virus membrane with host plasma membrane [GO:0019064]	host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; viral envelope [GO:0019031]; virion membrane [GO:0055036]; host cell surface receptor binding [GO:0046789]; identical protein binding [GO:0042802]; sialate 4-O-acetylesterase activity [GO:0106331]; sialate 9-O-acetylesterase activity [GO:0106330]; fusion of virus membrane with host plasma membrane [GO:0019064]	GO:0005886; GO:0016021; GO:0019031; GO:0019064; GO:0020002; GO:0042802; GO:0046789; GO:0055036; GO:0106330; GO:0106331	host cell surface receptor binding [GO:0046789]; identical protein binding [GO:0042802]; sialate 4-O-acetylesterase activity [GO:0106331]; sialate 9-O-acetylesterase activity [GO:0106330]	host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; viral envelope [GO:0019031]; virion membrane [GO:0055036]	KW-1015; KW-0325; KW-0348; KW-1032; KW-1043; KW-0378; KW-0472; KW-0732; KW-0812; KW-1133; KW-0261; KW-0946	Disulfide bond;Glycoprotein;Hemagglutinin;Host cell membrane;Host membrane;Hydrolase;Membrane;Signal;Transmembrane;Transmembrane helix;Viral envelope protein;Virion		HE	11128			Betacoronavirus 1 (species), Embecovirus (subgenus), Betacoronavirus (genus), Orthocoronavirinae (subfamily), Coronaviridae (family), Cornidovirineae (suborder), Nidovirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	694003 (species), 2509481 (subgenus), 694002 (genus), 2501931 (subfamily), 11118 (family), 2499399 (suborder), 76804 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Influenza type C/coronaviruses hemagglutinin-esterase family
NP_150076.1	P59709	reviewed	HEMA_CVBQ	Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein)	HE 2b	Bovine coronavirus (strain Quebec) (BCoV) (BCV)	424	fusion of virus membrane with host plasma membrane [GO:0019064]	host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; viral envelope [GO:0019031]; virion membrane [GO:0055036]; host cell surface receptor binding [GO:0046789]; sialate 4-O-acetylesterase activity [GO:0106331]; sialate 9-O-acetylesterase activity [GO:0106330]; sialate O-acetylesterase activity [GO:0001681]; fusion of virus membrane with host plasma membrane [GO:0019064]	GO:0001681; GO:0016021; GO:0019031; GO:0019064; GO:0020002; GO:0046789; GO:0055036; GO:0106330; GO:0106331	host cell surface receptor binding [GO:0046789]; sialate 4-O-acetylesterase activity [GO:0106331]; sialate 9-O-acetylesterase activity [GO:0106330]; sialate O-acetylesterase activity [GO:0001681]	host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; viral envelope [GO:0019031]; virion membrane [GO:0055036]	KW-1015; KW-0325; KW-0348; KW-1032; KW-1043; KW-0378; KW-0472; KW-0732; KW-0812; KW-1133; KW-0261; KW-0946	Disulfide bond;Glycoprotein;Hemagglutinin;Host cell membrane;Host membrane;Hydrolase;Membrane;Signal;Transmembrane;Transmembrane helix;Viral envelope protein;Virion	2b	HE	11133	UP000008572: Genome	Bos taurus (Bovine) [TaxID: 9913]	Bovine coronavirus (no rank), Betacoronavirus 1 (species), Embecovirus (subgenus), Betacoronavirus (genus), Orthocoronavirinae (subfamily), Coronaviridae (family), Cornidovirineae (suborder), Nidovirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	11128 (no rank), 694003 (species), 2509481 (subgenus), 694002 (genus), 2501931 (subfamily), 11118 (family), 2499399 (suborder), 76804 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Influenza type C/coronaviruses hemagglutinin-esterase family
NP_150076.1	P59711	reviewed	HEMA_CVBEN	Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein)	HE 2b	Bovine coronavirus (strain 98TXSF-110-ENT) (BCoV-ENT) (BCV)	424	fusion of virus membrane with host plasma membrane [GO:0019064]	host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; viral envelope [GO:0019031]; virion membrane [GO:0055036]; host cell surface receptor binding [GO:0046789]; sialate 4-O-acetylesterase activity [GO:0106331]; sialate 9-O-acetylesterase activity [GO:0106330]; sialate O-acetylesterase activity [GO:0001681]; fusion of virus membrane with host plasma membrane [GO:0019064]	GO:0001681; GO:0016021; GO:0019031; GO:0019064; GO:0020002; GO:0046789; GO:0055036; GO:0106330; GO:0106331	host cell surface receptor binding [GO:0046789]; sialate 4-O-acetylesterase activity [GO:0106331]; sialate 9-O-acetylesterase activity [GO:0106330]; sialate O-acetylesterase activity [GO:0001681]	host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; viral envelope [GO:0019031]; virion membrane [GO:0055036]	KW-1015; KW-0325; KW-0348; KW-1032; KW-1043; KW-0378; KW-0472; KW-0732; KW-0812; KW-1133; KW-0261; KW-0946	Disulfide bond;Glycoprotein;Hemagglutinin;Host cell membrane;Host membrane;Hydrolase;Membrane;Signal;Transmembrane;Transmembrane helix;Viral envelope protein;Virion	2b	HE	233262	UP000008570: Genome	Bos taurus (Bovine) [TaxID: 9913]	Bovine coronavirus (no rank), Betacoronavirus 1 (species), Embecovirus (subgenus), Betacoronavirus (genus), Orthocoronavirinae (subfamily), Coronaviridae (family), Cornidovirineae (suborder), Nidovirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	11128 (no rank), 694003 (species), 2509481 (subgenus), 694002 (genus), 2501931 (subfamily), 11118 (family), 2499399 (suborder), 76804 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Influenza type C/coronaviruses hemagglutinin-esterase family
NP_150077.1	Q91A26	reviewed	SPIKE_CVBEN	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain 98TXSF-110-ENT) (BCoV-ENT) (BCV)	1363	endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]	host cell endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0044173]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; viral envelope [GO:0019031]; virion membrane [GO:0055036]; endocytosis involved in viral entry into host cell [GO:0075509]; fusion of virus membrane with host endosome membrane [GO:0039654]; fusion of virus membrane with host plasma membrane [GO:0019064]; receptor-mediated virion attachment to host cell [GO:0046813]	GO:0016021; GO:0019031; GO:0019064; GO:0020002; GO:0039654; GO:0044173; GO:0046813; GO:0055036; GO:0075509		host cell endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0044173]; host cell plasma membrane [GO:0020002]; integral component of membrane [GO:0016021]; viral envelope [GO:0019031]; virion membrane [GO:0055036]	KW-0175; KW-1015; KW-1170; KW-1168; KW-0325; KW-1032; KW-1043; KW-0945; KW-0449; KW-0472; KW-0564; KW-0732; KW-0812; KW-1133; KW-1161; KW-0261; KW-1162; KW-0946; KW-0843; KW-1160	Coiled coil;Disulfide bond;Fusion of virus membrane with host endosomal membrane;Fusion of virus membrane with host membrane;Glycoprotein;Host cell membrane;Host membrane;Host-virus interaction;Lipoprotein;Membrane;Palmitate;Signal;Transmembrane;Transmembrane helix;Viral attachment to host cell;Viral envelope protein;Viral penetration into host cytoplasm;Virion;Virulence;Virus entry into host cell	3	S	233262	UP000008570: Genome	Bos taurus (Bovine) [TaxID: 9913]	Bovine coronavirus (no rank), Betacoronavirus 1 (species), Embecovirus (subgenus), Betacoronavirus (genus), Orthocoronavirinae (subfamily), Coronaviridae (family), Cornidovirineae (suborder), Nidovirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	11128 (no rank), 694003 (species), 2509481 (subgenus), 694002 (genus), 2501931 (subfamily), 11118 (family), 2499399 (suborder), 76804 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)					MOTIF 1359..1363; /note="KxHxx"; /evidence="ECO:0000255|HAMAP-Rule:MF_04099"		Betacoronaviruses spike protein family
NP_150078.1	A0A2R4STS3	unreviewed	A0A2R4STS3_9BETC	4.9 kDa non-structural protein (4.9 kDa protein)		Bovine coronavirus	29										11128			Betacoronavirus 1 (species), Embecovirus (subgenus), Betacoronavirus (genus), Orthocoronavirinae (subfamily), Coronaviridae (family), Cornidovirineae (suborder), Nidovirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	694003 (species), 2509481 (subgenus), 694002 (genus), 2501931 (subfamily), 11118 (family), 2499399 (suborder), 76804 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Coronaviruses ns4.9 protein family
NP_150078.1	Q91A25	reviewed	NS49_CVBEN	Truncated non-structural protein of 4.9 kDa (Truncated ns4.9) (Truncated 4.9 kDa accessory protein)	4a	Bovine coronavirus (strain 98TXSF-110-ENT) (BCoV-ENT) (BCV)	29								4a		233262	UP000008570: Genome	Bos taurus (Bovine) [TaxID: 9913]	Bovine coronavirus (no rank), Betacoronavirus 1 (species), Embecovirus (subgenus), Betacoronavirus (genus), Orthocoronavirinae (subfamily), Coronaviridae (family), Cornidovirineae (suborder), Nidovirales (order), Pisoniviricetes (class), Pisuviricota (phylum), Orthornavirae (kingdom), Riboviria (no rank), Viruses (superkingdom)	11128 (no rank), 694003 (species), 2509481 (subgenus), 694002 (genus), 2501931 (subfamily), 11118 (family), 2499399 (suborder), 76804 (order), 2732506 (class), 2732408 (phylum), 2732396 (kingdom), 2559587 (no rank), 10239 (superkingdom)							Coronaviruses ns4.9 protein family
